,lmp_node,matched_source_sink,match_score
0,EAI BEIRNE T1,BREC.REIDCT,58
1,NSP GLENWOOD GLENWO1,GRE.NSP.GREC,56
2,CLEC HUNTER2 T2,CLEC.HUNTER5,81
3,CONS RYNLS RYNLS_T1,CONS.HRSY10,60
4,DECO EVRGN 2206-7,DECO.EXGNMW2,55
5,EES PATRSN T1,EES.MTCPSST1,64
6,SME GWINVILL LD_GWINVLE1,SME.GRANDGULF,49
7,NSP BAT_CRK BAT_CR1,NSP.ALTM_1.AZ,62
8,CONS MTLCF MTLCF_T1,CONS.MCV.MCV,65
9,EES POINTB TR2,EES.FRONT_TX2,67
10,EAI MORGN2 T1,MOGEN1.AGG,61
11,EES BYUCOV SLEMCO_AUX,EES.SLEMCO,65
12,ALTE HORICONI HIP_T41,ALTE.ONIONRIV,59
13,AMMO MAUR MAUR-42,AMMO.MARC_1.AZ,65
14,CIN NASLATE BK1_69,CIN.MARKLND.1,52
15,NSP LINDSTRM TR2_115,NSP.TEA_1.AZ,50
16,EES DER T1,EES.DERSLD,70
17,ALTE EASTSCOT ESS_T31,ALTE.TOWNEST11,63
18,AMMO KIRK2 KIRK-72,AMMO.KIRK2.ARR,75
19,CONS MONUM MONUM_T1,CONS.JAXON_1,58
20,DECO SHOAL TRF_1,DECO.NESL1,62
21,GRE VRMILION GRE_TR1,GRE.MP.GRE,60
22,MEC DRFNDRY DRFNDR2,MEC.LUNDGREN,52
23,NIPS SCHAHFER 138_FGD_RAT,NIPS.SCHAHP18,53
24,GRE HARYMSER GRE_TR1,GRE.MP.GRE,60
25,HE 07FRNCSC A,HE.07LCPGEN1,48
26,SOCO FBLEAU_L LD_FOUNTNBLEAU,SOCO.FORIN.ARR,48
27,AMIL MUDY MUDY-710,AMIL.SDNY.MVP,58
28,CONS SIDSX SIDSX_T1,CONS.SCIT,57
29,AMIL NEWTON2 TR_4_138_34KV,AMIL.NEWTON21,67
30,GRE RAMSYGRE GRE_TR1,GRE.MP.GRE,60
31,MP CANISTEO 1TR,EAI.WSTMMP.ARR,55
32,ALTW WNTP WNTP1,ALTW.MTOWNCT1,71
33,EAI LR_MAR LT3,EAI.LK_CATH4,62
34,NIPS WOODLAN2 NO_1_XFMR,NIPS.NORWAPNOR,59
35,WEC MCO_WEC T6,WEC.KAC_GE5CT,67
