,Analysis Start Date,Analysis End Date,Mean Congestion Spread,Congestion Spread Standard Dev,LMP Sink,Closest matching FTR Sink,LMP Source,Closest matching FTR Source
0,2025-04-01 07:00:00,2025-06-30 21:00:00,23.1,41.34,CIN TIPTON BK1_69,CIN.TIPMONT,SME GPTAYLRS LD1,SME.GPTAYLRS
1,2025-04-01 07:00:00,2025-06-30 21:00:00,23.05,34.04,AMIL STEELVIL TR2,AMIL.TILTU2,MDU ELLENDL2 ELLENDALE,MDU.ELLNDL_LD2
2,2025-04-01 07:00:00,2025-06-30 21:00:00,20.98,29.28,CIN MARILYN BK2,CIN.MARKLND.2,MDU ELLENDL2 ELLENDALE,MDU.ELLNDL_LD2
3,2025-04-01 07:00:00,2025-06-30 21:00:00,16.65,22.16,CONS MPW_HAR8 T1,CONS.MIPOWER1,NSP WPIPSTNW WPIPST1,NSP.WPIPST1
4,2025-04-01 07:00:00,2025-06-30 21:00:00,18.92,26.75,CIN MARKVL BK1_69,CIN.MARKLND.1,MDU ELLENDL2 ELLENDALE,MDU.ELLNDL_LD2
5,2025-04-01 07:00:00,2025-06-30 21:00:00,17.19,24.85,SIGE NWSIGE A,SIGE.SIGW,MDU ELLENDL2 ELLENDALE,MDU.ELLNDL_LD2
6,2025-04-01 07:00:00,2025-06-30 21:00:00,9.09,35.99,NIPS MARCO MARCO,NIPS.MITCH.ARR,SME GPTAYLRS LD1,SME.GPTAYLRS
7,2025-04-01 07:00:00,2025-06-30 21:00:00,17.76,22.57,CONS ALCONA T2_3,CONS.ALCONA,ALTW WELLS WELLS1,ALTW.WELLS1
8,2025-04-01 07:00:00,2025-06-30 21:00:00,9.35,22.24,CIN STAUTON A,CIN.GIBSON.4,ALTW FAIR FAIR1,ALTW.FAIR1.ARR
9,2025-04-01 07:00:00,2025-06-30 21:00:00,15.25,19.4,OTP FRAZEE TR_OTP1,OTP.OTPW_1.AZ,ALTW WELLS WELLS1,ALTW.WELLS1
10,2025-04-01 07:00:00,2025-06-30 21:00:00,17.56,32.7,AMMO CHAR CHAR_71,AMMO.CALF_1.AZ,MDU ELLENDL2 ELLENDALE,MDU.ELLNDL_LD2
11,2025-04-01 07:00:00,2025-06-30 21:00:00,16.24,24.32,HE OSPR_PT A,HE.OSPR_PT,ALTW WELLS WELLS1,ALTW.WELLS1
12,2025-04-01 07:00:00,2025-06-30 21:00:00,15.64,24.32,GLH JOPPA_N SS5,GLH.JOPPA5,ALTW WELLS WELLS1,ALTW.WELLS1
13,2025-04-01 07:00:00,2025-06-30 21:00:00,14.89,21.63,CONS ALPINE T1,CONS.ALPINE02,ALTW WELLS WELLS1,ALTW.WELLS1
14,2025-04-01 07:00:00,2025-06-30 21:00:00,18.48,34.84,OTP VALYOTP TR1,OTP.OTP,ALTW WELLS WELLS1,ALTW.WELLS1
15,2025-04-01 07:00:00,2025-06-30 21:00:00,13.95,19.33,NSP CEDARFAL TR3,NSP.CEDARFAL,ALTW WELLS WELLS1,ALTW.WELLS1
16,2025-04-01 07:00:00,2025-06-30 21:00:00,13.49,20.5,NSP GROVECY GROVEC2,GRE.NSP.GREC,ALTW WELLS WELLS1,ALTW.WELLS1
17,2025-04-01 07:00:00,2025-06-30 21:00:00,10.98,16.18,OTP JAMSPK JAMSPK1,OTP.JAMSPK1,ALTW WELLS WELLS1,ALTW.WELLS1
18,2025-04-01 07:00:00,2025-06-30 21:00:00,11.82,18.61,WPS PULLIAM T31A,WPS.PULLIAM31,ALTW WELLS WELLS1,ALTW.WELLS1
19,2025-04-01 07:00:00,2025-06-30 21:00:00,32.53,81.12,LAGN LAND LAND,LAGN.LAGN,ALTW WBINGHAM WBINGH1,ALTW.W_BINGHAM
20,2025-04-01 07:00:00,2025-06-30 21:00:00,12.69,32.04,EES LONSTR T1,EES.LONSTR1,ALTW WELLS WELLS1,ALTW.WELLS1
21,2025-04-01 07:00:00,2025-06-30 21:00:00,16.52,45.67,CLEC HUNTER2 T2,CLEC.HUNTER5,ALTW WELLS WELLS1,ALTW.WELLS1
22,2025-04-01 07:00:00,2025-06-30 21:00:00,11.71,35.6,EAI DANVL2 T1,EAI.ANO2,ALTW WELLS WELLS1,ALTW.WELLS1
23,2025-04-01 07:00:00,2025-06-30 21:00:00,8.44,32.93,EMBA PICKNS T2,EMBA.HINDS2,ALTW WELLS WELLS1,ALTW.WELLS1
24,2025-04-01 07:00:00,2025-06-30 21:00:00,13.09,65.41,EES EXXON 5,EES.EXXON,SME GPTAYLRS LD1,SME.GPTAYLRS
