,node,matched_source_sink,match_score,congestion deviation,congestion mean,congestion skew,congestion kurtosis,Sink score,Source score,cluster
2175,LAGN BRKC BRKC,BREC.BREC,61,122.58927476627136,32.081863636363636,7.115088449813654,59.22198953749521,100.00000000000003,0.0,9
12115,LAGN BC2 BC2_STN_AUX_LD,LAGN.BC2_1,55,76.86145764557781,18.389090909090907,6.301147765539803,41.91408403194866,75.10133555351777,27.52729627365342,70
13469,LAGN WLOO WLOO,LAGN.LAGN,52,76.28481472522698,18.37169696969697,6.287509822121683,41.81987533796723,74.98432100842984,27.63741867805045,70
9945,LAGN BC1 BC1_LD,LAGN.BC1T_3,69,76.23149779901752,18.366318181818183,6.286898711660172,41.81810710681206,74.9671195976976,27.64846958948705,70
5976,LAGN GRTE GRTE,GRE.NSP.GREC,69,73.84478964490881,18.278848484848485,6.207644779917343,40.81188316381668,74.58109193392119,28.41829839434169,70
8758,LAGN DIMD DIMD,LAGN.DEMCO1.AZ,57,74.07651135370003,18.273666666666667,6.227522639287268,41.12558211534375,74.5628076710806,28.253604761052117,70
727,LAGN PLAQ PLAQ,LEPA.CPLAQ.ARR,64,74.07651135370003,18.273666666666667,6.227522639287268,41.12558211534375,74.5628076710806,28.253604761052117,70
14020,LAGN VALV VALV,LAGN.LAGN,61,71.57714734961927,18.289287878787878,6.098117113179209,39.35556513726757,74.42649483770236,29.288864909198352,70
5471,LAGN SHNT SHNT,NIPS.STJOHN.LN,57,74.61035129901656,18.190530303030304,6.273313134996114,41.838571632418805,74.41495504242766,27.961964359961883,70
12054,LAGN BPIG BPIG,LAGN.BCI_2,58,74.61035129901656,18.190530303030304,6.273313134996114,41.838571632418805,74.41495504242766,27.961964359961883,70
2142,LAGN KRSP KRSP,CONS.LANS.ARR,52,70.02732737042312,18.256333333333334,6.015637344719676,38.32155579585319,74.25606372352814,29.952637327241646,70
12121,LAGN GHEN GHEN,LAGN.LAGN,61,69.53911045717804,17.465363636363634,6.259532092367157,42.324394592381076,72.3618956518595,28.938189626115985,70
6596,LAGN ASLD ASLD,LAGN.LAGN,61,69.6260958612352,17.43990909090909,6.265927197080557,42.3697304369136,72.33656765950957,28.937788914583734,70
14001,LAGN GRWD GRWD,GRE.NSP.GREC,54,69.63627783084405,17.415045454545456,6.270319851325077,42.39838496504066,72.30083354976679,28.950655773711986,70
911,LAGN MATH MATH,OTP.MPC.LANGDN,57,69.65112638103604,17.359272727272728,6.2769428233860545,42.45005445239627,72.21681017567423,28.9875862826253,70
14044,LAGN LAND LAND,LAGN.LAGN,70,69.65112879937139,17.35909090909091,6.276949922146686,42.45011374005982,72.2165313185433,28.98776777776851,70
9136,LAGT BRKC_L BRKC,BREC.BREC,56,104.91875389987585,17.70627692307692,7.999650690671242,79.81993814984804,71.51524517942647,8.063776070192603,9
12882,LAGN RAMO RAMO,AMMO.AEM.MO,64,68.41686023987631,16.80859090909091,6.335047540787631,43.01106383570591,71.14365846716913,29.426391208252454,70
7638,LAGN BLOU BLOU,LAGN.LAGN,52,68.42522724077146,16.743848484848485,6.335489115421079,43.01257253613754,71.04690060787357,29.500646994801173,70
9269,LAGN SWEU SWEU,AMIL.SSWE,52,70.1112811500923,16.69878787878788,6.476618049000641,44.840834635177245,71.01705259799414,28.52194985350691,70
86,LAGN CRBK CRBK,LAGN.BC2_1,58,70.1112811500923,16.69878787878788,6.476618049000641,44.840834635177245,71.01705259799414,28.52194985350691,70
